id,title,source,published_date,severity,score,cvss_score,in_kev,cve_ids,vendor_project,product,tags,due_date,url,description
CVE-2024-1709,ConnectWise ScreenConnect — Authentication Bypass,CISA_KEV,2024-02-22,Critical,10.0,10.0,True,CVE-2024-1709,ConnectWise,ScreenConnect,rce | auth_bypass | network,2024-02-29,https://www.cisa.gov/known-exploited-vulnerabilities-catalog,ConnectWise ScreenConnect authentication bypass leading to remote code execution.
CVE-2023-46604,Apache ActiveMQ — Remote Code Execution,CISA_KEV,2023-11-02,Critical,10.0,10.0,True,CVE-2023-46604,Apache,ActiveMQ,ransomware | rce | network,2023-11-23,https://www.cisa.gov/known-exploited-vulnerabilities-catalog,Apache ActiveMQ RCE vulnerability exploited to deploy ransomware and web shells.
CVE-2024-21762,Fortinet FortiOS — Out-of-Bound Write,CISA_KEV,2024-02-09,Critical,9.84,9.6,True,CVE-2024-21762,Fortinet,FortiOS,rce | auth_bypass | network,2024-02-16,https://www.cisa.gov/known-exploited-vulnerabilities-catalog,Fortinet FortiOS out-of-bounds write vulnerability allows unauthenticated remote code execution.
CVE-2024-3400,Palo Alto Networks PAN-OS — OS Command Injection,CISA_KEV,2024-04-12,Critical,9.75,10.0,True,CVE-2024-3400,Palo Alto Networks,PAN-OS,zero_day | network,2024-04-19,https://www.cisa.gov/known-exploited-vulnerabilities-catalog,"Palo Alto Networks PAN-OS command injection via GlobalProtect, actively exploited in the wild."
CVE-2023-4966,Citrix NetScaler ADC and Gateway — Buffer Overflow,CISA_KEV,2023-10-18,Critical,9.51,9.4,True,CVE-2023-4966,Citrix,NetScaler ADC and Gateway,infoleak | memory_corruption,2023-10-25,https://www.cisa.gov/known-exploited-vulnerabilities-catalog,Citrix NetScaler sensitive information disclosure leading to session hijacking. Dubbed Citrix Bleed.
CVE-2024-21378,Critical Remote Code Execution in Microsoft Outlook,MSRC_RSS,2024-03-12T12:00:00+00:00,Critical,4.0,0.0,False,CVE-2024-21378,Microsoft,Outlook,rce | zero_day | network,,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-21378,A critical zero-day remote code execution vulnerability in Microsoft Outlook is being actively exploited. Attackers send specially crafted emails to execute arbitrary code without user interaction.
CVE-2024-21410,Critical Remote Code Execution Vulnerability in Microsoft Exchange Server,MSRC_RSS,2024-02-13T12:00:00+00:00,Critical,3.75,0.0,False,CVE-2024-21410,Microsoft,Exchange,rce | network,,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-21410,A critical remote code execution vulnerability exists in Microsoft Exchange Server that could allow an attacker to run arbitrary code.
CVE-2024-20678,Critical Remote Code Execution in Windows Hyper-V,MSRC_RSS,2024-04-09T12:00:00+00:00,Critical,3.75,0.0,False,CVE-2024-20678,Microsoft,Windows,rce | network,,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-20678,A remote code execution vulnerability in Windows Hyper-V could allow an attacker on a guest VM to execute code on the host OS.
CVE-2024-21338,Important Elevation of Privilege Vulnerability in Windows Kernel,MSRC_RSS,2024-01-09T12:00:00+00:00,High,2.5,0.0,False,CVE-2024-21338,Microsoft,Windows,eop,,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-21338,An elevation of privilege vulnerability in the Windows Kernel allows a local attacker to gain SYSTEM privileges.
CVE-2024-20667,Moderate Information Disclosure in Azure DevOps Server,MSRC_RSS,2024-03-12T12:00:00+00:00,Medium,1.5,0.0,False,CVE-2024-20667,Microsoft,Azure,infoleak,,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-20667,An information disclosure vulnerability in Azure DevOps Server may expose sensitive repository data.
